0    [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 361, speed: 6, numberOfBlocks:14, blockLength: 100, crossings: 10-14, singleDirection: true, highBlocknumberSectionId: null}
1    [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 361, speed: 6, numberOfBlocks:14, blockLength: 100, crossings: 10-14, singleDirection: true, highBlocknumberSectionId: null}
102  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 422, speed: 43, numberOfBlocks:8, blockLength: 191, crossings: 7, singleDirection: false, highBlocknumberSectionId: 487-642}
102  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 422, speed: 43, numberOfBlocks:8, blockLength: 191, crossings: 7, singleDirection: false, highBlocknumberSectionId: 487-642}
202  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 407, speed: 14, numberOfBlocks:8, blockLength: 182, crossings: 1, singleDirection: true, highBlocknumberSectionId: null}
202  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 407, speed: 14, numberOfBlocks:8, blockLength: 182, crossings: 1, singleDirection: true, highBlocknumberSectionId: null}
303  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 100, speed: 23, numberOfBlocks:40, blockLength: 62, crossings: 2-7-13, singleDirection: true, highBlocknumberSectionId: null}
303  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 100, speed: 23, numberOfBlocks:40, blockLength: 62, crossings: 2-7-13, singleDirection: true, highBlocknumberSectionId: null}
404  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 494, speed: 16, numberOfBlocks:5, blockLength: 115, crossings: 4-3-4-1, singleDirection: true, highBlocknumberSectionId: null}
404  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 494, speed: 16, numberOfBlocks:5, blockLength: 115, crossings: 4-3-4-1, singleDirection: true, highBlocknumberSectionId: null}
504  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 10, speed: 34, numberOfBlocks:13, blockLength: 174, crossings: 2-13-13-5, singleDirection: false, highBlocknumberSectionId: 356-730}
