0    [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 408, speed: 25, numberOfBlocks:18, blockLength: 154, crossings: 18-9-15, singleDirection: false, highBlocknumberSectionId: 7-536}
1    [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 408, speed: 25, numberOfBlocks:18, blockLength: 154, crossings: 18-9-15, singleDirection: false, highBlocknumberSectionId: 7-536}
102  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 226, speed: 7, numberOfBlocks:9, blockLength: 166, crossings: 5, singleDirection: false, highBlocknumberSectionId: 101-571}
102  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 226, speed: 7, numberOfBlocks:9, blockLength: 166, crossings: 5, singleDirection: false, highBlocknumberSectionId: 101-571}
203  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 410, speed: 11, numberOfBlocks:17, blockLength: 181, crossings: , singleDirection: false, highBlocknumberSectionId: 27-833}
203  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 410, speed: 11, numberOfBlocks:17, blockLength: 181, crossings: , singleDirection: false, highBlocknumberSectionId: 27-833}
304  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 159, speed: 38, numberOfBlocks:15, blockLength: 188, crossings: 14-13-13, singleDirection: true, highBlocknumberSectionId: }
304  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 159, speed: 38, numberOfBlocks:15, blockLength: 188, crossings: 14-13-13, singleDirection: true, highBlocknumberSectionId: }
405  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 127, speed: 49, numberOfBlocks:16, blockLength: 158, crossings: 5-4, singleDirection: false, highBlocknumberSectionId: 130-772}
405  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 127, speed: 49, numberOfBlocks:16, blockLength: 158, crossings: 5-4, singleDirection: false, highBlocknumberSectionId: 130-772}
505  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 90, speed: 27, numberOfBlocks:2, blockLength: 163, crossings: 1, singleDirection: true, highBlocknumberSectionId: }
505  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 90, speed: 27, numberOfBlocks:2, blockLength: 163, crossings: 1, singleDirection: true, highBlocknumberSectionId: }
606  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 174, speed: 12, numberOfBlocks:47, blockLength: 128, crossings: 7-40-32-36, singleDirection: true, highBlocknumberSectionId: }
606  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 174, speed: 12, numberOfBlocks:47, blockLength: 128, crossings: 7-40-32-36, singleDirection: true, highBlocknumberSectionId: }
707  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 392, speed: 48, numberOfBlocks:18, blockLength: 149, crossings: 14-12-9, singleDirection: true, highBlocknumberSectionId: }
707  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 392, speed: 48, numberOfBlocks:18, blockLength: 149, crossings: 14-12-9, singleDirection: true, highBlocknumberSectionId: }
810  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 319, speed: 19, numberOfBlocks:32, blockLength: 65, crossings: 14, singleDirection: true, highBlocknumberSectionId: }
810  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 319, speed: 19, numberOfBlocks:32, blockLength: 65, crossings: 14, singleDirection: true, highBlocknumberSectionId: }
911  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 6, speed: 12, numberOfBlocks:3, blockLength: 40, crossings: , singleDirection: true, highBlocknumberSectionId: }
911  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 6, speed: 12, numberOfBlocks:3, blockLength: 40, crossings: , singleDirection: true, highBlocknumberSectionId: }
1012 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 250, speed: 38, numberOfBlocks:22, blockLength: 61, crossings: 11, singleDirection: true, highBlocknumberSectionId: }
1012 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 250, speed: 38, numberOfBlocks:22, blockLength: 61, crossings: 11, singleDirection: true, highBlocknumberSectionId: }
1113 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 26, speed: 41, numberOfBlocks:9, blockLength: 140, crossings: 1, singleDirection: false, highBlocknumberSectionId: 25-697}
1113 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 26, speed: 41, numberOfBlocks:9, blockLength: 140, crossings: 1, singleDirection: false, highBlocknumberSectionId: 25-697}
1214 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 224, speed: 46, numberOfBlocks:19, blockLength: 124, crossings: 7-4-15, singleDirection: false, highBlocknumberSectionId: 482-792}
1214 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 224, speed: 46, numberOfBlocks:19, blockLength: 124, crossings: 7-4-15, singleDirection: false, highBlocknumberSectionId: 482-792}
1317 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 370, speed: 31, numberOfBlocks:40, blockLength: 89, crossings: 32-24-30-18, singleDirection: false, highBlocknumberSectionId: 256-920}
1318 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 370, speed: 31, numberOfBlocks:40, blockLength: 89, crossings: 32-24-30-18, singleDirection: false, highBlocknumberSectionId: 256-920}
1419 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 325, speed: 2, numberOfBlocks:41, blockLength: 199, crossings: 34-9-2-31, singleDirection: true, highBlocknumberSectionId: }
1419 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 325, speed: 2, numberOfBlocks:41, blockLength: 199, crossings: 34-9-2-31, singleDirection: true, highBlocknumberSectionId: }
1519 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 295, speed: 8, numberOfBlocks:29, blockLength: 65, crossings: , singleDirection: true, highBlocknumberSectionId: }
1520 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 295, speed: 8, numberOfBlocks:29, blockLength: 65, crossings: , singleDirection: true, highBlocknumberSectionId: }
1623 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 131, speed: 40, numberOfBlocks:22, blockLength: 136, crossings: 13-14-20, singleDirection: false, highBlocknumberSectionId: 232-911}
1623 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 131, speed: 40, numberOfBlocks:22, blockLength: 136, crossings: 13-14-20, singleDirection: false, highBlocknumberSectionId: 232-911}
1725 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 394, speed: 50, numberOfBlocks:12, blockLength: 154, crossings: , singleDirection: false, highBlocknumberSectionId: 368-961}
1725 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 394, speed: 50, numberOfBlocks:12, blockLength: 154, crossings: , singleDirection: false, highBlocknumberSectionId: 368-961}
1830 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 330, speed: 48, numberOfBlocks:50, blockLength: 69, crossings: 42-33, singleDirection: false, highBlocknumberSectionId: 443-694}
1830 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 330, speed: 48, numberOfBlocks:50, blockLength: 69, crossings: 42-33, singleDirection: false, highBlocknumberSectionId: 443-694}
