type;rideId;sectionId;BlockNr;delay
signalisatie;89;545;46;17
detectie;20;220;5;40
signalisatie;99;608;18;27
signalisatie;75;248;48;28
detectie;40;548;45;28
signalisatie;11;279;31;31
detectie;30;690;37;27
signalisatie;31;477;6;39
detectie;85;273;13;43
detectie;22;808;26;14
detectie;75;849;37;20
signalisatie;74;289;47;27
detectie;7;150;17;38
signalisatie;27;48;7;50
signalisatie;96;930;37;48
detectie;69;722;45;22
detectie;10;143;30;26
signalisatie;79;76;44;19
detectie;84;25;14;12
detectie;23;708;42;38
detectie;80;56;1;42
signalisatie;27;922;32;19
detectie;95;414;19;48
signalisatie;53;304;40;24
detectie;21;222;17;19
detectie;17;799;28;5
signalisatie;10;29;24;39
detectie;71;707;16;16
signalisatie;44;568;43;20
signalisatie;14;660;9;29
detectie;5;420;46;4
signalisatie;43;173;27;32
detectie;96;737;44;43
detectie;59;675;11;32
detectie;45;549;11;35
detectie;27;145;27;11
signalisatie;9;58;35;9
signalisatie;24;380;3;14
signalisatie;70;109;49;31
signalisatie;61;139;47;2
detectie;74;360;11;20
detectie;96;415;7;1
signalisatie;59;499;28;30
signalisatie;74;226;6;50
signalisatie;55;584;5;40
signalisatie;70;770;12;45
signalisatie;21;625;7;32
detectie;75;141;29;24
detectie;8;408;13;9
detectie;91;303;19;40
signalisatie;73;367;31;19
signalisatie;44;943;36;26
signalisatie;62;722;47;43
signalisatie;41;69;8;39
signalisatie;6;825;50;32
detectie;75;340;33;24
signalisatie;43;206;36;14
signalisatie;79;983;33;46
signalisatie;42;986;48;8
signalisatie;43;595;1;20
signalisatie;10;602;45;49
signalisatie;2;222;13;36
detectie;44;576;46;4
detectie;79;3;50;49
signalisatie;91;971;30;24
signalisatie;44;292;23;1
detectie;24;178;7;35
detectie;74;980;43;2
signalisatie;18;560;16;34
signalisatie;47;932;2;15
signalisatie;57;536;2;20
signalisatie;2;62;27;15
detectie;10;67;24;32
signalisatie;78;203;9;5
signalisatie;8;276;12;27
signalisatie;56;809;17;12
detectie;51;109;41;46
detectie;31;406;4;25
detectie;29;206;5;20
detectie;71;347;27;1
detectie;17;703;23;29
signalisatie;81;548;48;47
detectie;38;773;5;48
signalisatie;6;880;26;43
signalisatie;10;739;50;1
detectie;69;372;18;16
signalisatie;46;342;1;50
signalisatie;13;803;22;10
signalisatie;79;946;21;35
signalisatie;13;495;28;33
signalisatie;95;744;39;35
detectie;51;214;24;11
signalisatie;41;781;38;44
detectie;2;430;13;7
signalisatie;79;170;15;12
detectie;91;326;50;30
detectie;54;831;44;28
signalisatie;52;784;19;40
signalisatie;59;19;50;34
detectie;98;178;15;28
signalisatie;17;764;29;4
signalisatie;72;413;34;24
detectie;20;949;42;48
signalisatie;60;320;4;21
signalisatie;24;723;17;23
signalisatie;35;782;12;19
signalisatie;52;715;1;50
signalisatie;81;396;43;19
detectie;88;29;22;47
detectie;4;581;4;15
signalisatie;55;245;27;23
detectie;44;84;26;38
signalisatie;13;452;24;47
signalisatie;47;432;50;19
detectie;74;749;14;43
signalisatie;56;98;5;29
signalisatie;80;797;36;30
signalisatie;14;168;12;8
signalisatie;90;293;24;35
signalisatie;77;568;23;8
detectie;16;918;16;23
detectie;59;614;4;11
